Bike number,Bike serviceable,Station number
W00001,serviceable,31301
W00005,serviceable,32011
W00007,serviceable,31508
W00009,serviceable,31912
W00010,serviceable,31249
W00011,disabled,
W00012,serviceable,31902
W00013,serviceable,31914
W00014,serviceable,31902
W00015,serviceable,31043
W00016,serviceable,31105
W00017,serviceable,32045
W00019,serviceable,31114
W00020,serviceable,31266
W00021,serviceable,31231
W00024,serviceable,31636
W00025,serviceable,31606
W00026,serviceable,31070
W00027,serviceable,31282
W00028,serviceable,31034
W00029,serviceable,31619
W00030,serviceable,31500
W00031,serviceable,31004
W00032,serviceable,31400
W00033,serviceable,31640
W00034,serviceable,31235
W00035,serviceable,31119
W00036,serviceable,31630
W00037,serviceable,31074
W00038,serviceable,31107
W00039,serviceable,31102
W00040,serviceable,31071
W00041,serviceable,31000
W00042,serviceable,31047
W00043,serviceable,31009
W00044,serviceable,31400
W00045,serviceable,31627
W00046,serviceable,32006
W00047,serviceable,31281
W00048,disabled,
W00049,serviceable,31079
W00050,serviceable,31644
W00051,serviceable,32022
W00054,serviceable,31406
W00055,disabled,
W00057,serviceable,31223
W00058,serviceable,31090
w00059,serviceable,31083
W00060,serviceable,32046
W00062,serviceable,31041
W00063,serviceable,31216
W00064,serviceable,31622
W00065,serviceable,31102
W00066,serviceable,32037
W00068,serviceable,31244
W00070,serviceable,31639
W00074,serviceable,31044
W00075,serviceable,32001
W00076,serviceable,31631
W00078,serviceable,31413
W00080,serviceable,32045
W00081,check out,
W00082,serviceable,31006
W00083,serviceable,31106
W00084,serviceable,31400
W00085,serviceable,31074
W00086,serviceable,31031
W00087,serviceable,32056
W00089,serviceable,31604
W00090,serviceable,31613
W00091,serviceable,31318
W00092,disabled,
W00093,disabled,
W00094,disabled,
W00095,serviceable,32209
W00097,serviceable,31906
W00098,serviceable,31313
W00099,serviceable,32040
W00103,serviceable,31290
W00105,disabled,
W00107,serviceable,31300
W00108,serviceable,31000
W00109,serviceable,31041
W00110,serviceable,31214
W00112,serviceable,31629
W00113,serviceable,31517
W00114,serviceable,31281
W00115,serviceable,31265
W00116,serviceable,31209
W00117,serviceable,31232
W00118,serviceable,31098
W00119,serviceable,31641
W00121,serviceable,31308
W00122,serviceable,31006
W00123,serviceable,31615
W00124,serviceable,31068
W00125,disabled,
W00126,serviceable,31226
W00127,serviceable,31110
W00128,serviceable,31007
W00129,check out,
W00130,serviceable,31060
W00131,serviceable,31005
W00132,serviceable,31036
W00133,serviceable,31801
W00134,serviceable,31520
W00135,serviceable,31101
W00137,serviceable,31285
W00138,serviceable,31641
W00139,serviceable,31401
W00140,serviceable,31063
W00141,serviceable,31639
W00142,serviceable,31314
W00143,serviceable,31412
W00144,disabled,
W00146,serviceable,31079
W00147,serviceable,31318
W00148,disabled,
W00149,serviceable,31626
W00151,serviceable,31222
W00152,serviceable,31280
W00153,disabled,
W00155,serviceable,31636
W00157,serviceable,31627
W00158,serviceable,31218
W00159,serviceable,31055
W00161,serviceable,31201
W00162,serviceable,32001
W00163,serviceable,31208
W00164,serviceable,31119
W00165,serviceable,32020
W00167,serviceable,31258
W00168,serviceable,31060
W00169,serviceable,31249
W00170,serviceable,31090
W00171,serviceable,31236
W00172,serviceable,31314
W00173,serviceable,31622
W00174,serviceable,31246
W00175,serviceable,31636
W00176,serviceable,31234
W00178,disabled,
W00179,serviceable,31639
W00181,serviceable,31318
W00182,serviceable,31300
W00183,serviceable,31611
W00185,serviceable,31293
W00186,serviceable,31312
W00187,serviceable,31125
W00189,serviceable,31021
W00190,serviceable,31016
W00191,serviceable,31208
W00192,serviceable,31606
W00193,check out,
W00194,serviceable,31623
W00195,serviceable,31066
W00196,serviceable,31408
W00197,serviceable,31641
W00198,disabled,
W00199,serviceable,31005
W00200,serviceable,31075
W00201,serviceable,31042
W00202,serviceable,32010
W00203,disabled,
W00204,serviceable,31248
W00205,serviceable,31907
W00206,serviceable,31101
W00207,serviceable,32010
W00208,serviceable,31108
W00209,serviceable,31638
W00210,serviceable,32008
W00211,serviceable,31107
W00213,serviceable,31076
W00214,serviceable,31407
W00216,serviceable,31309
W00217,serviceable,31016
W00219,serviceable,31514
W00220,serviceable,31034
W00221,serviceable,31511
W00222,serviceable,31617
W00224,serviceable,31620
W00225,serviceable,31103
W00226,serviceable,31238
W00227,serviceable,31508
W00228,serviceable,31223
W00230,serviceable,31414
W00231,serviceable,31281
W00232,serviceable,31614
W00234,serviceable,31917
W00235,serviceable,31229
W00236,serviceable,31712
W00237,serviceable,31209
W00238,serviceable,31051
W00239,serviceable,31645
W00240,serviceable,31615
W00241,serviceable,31075
W00242,serviceable,31103
W00243,disabled,
W00244,serviceable,31636
W00245,serviceable,31034
W00246,serviceable,31243
W00247,serviceable,31631
W00248,serviceable,31117
W00249,serviceable,31641
W00252,serviceable,31629
W00253,serviceable,31014
W00254,serviceable,31212
W00256,serviceable,31031
W00258,serviceable,31288
W00259,serviceable,31275
W00260,serviceable,31504
W00261,serviceable,31645
W00263,disabled,
W00264,serviceable,31607
W00265,serviceable,31014
W00266,serviceable,31609
W00267,serviceable,31125
W00268,disabled,
W00269,serviceable,31057
W00270,serviceable,31629
W00272,serviceable,31263
W00273,serviceable,31644
W00275,serviceable,31062
W00276,serviceable,31011
W00277,serviceable,31014
W00279,disabled,
W00280,serviceable,31414
W00281,serviceable,31264
W00282,serviceable,31623
W00283,serviceable,31010
W00285,disabled,
W00286,serviceable,31918
W00287,serviceable,31508
W00288,disabled,
W00289,serviceable,31116
W00290,serviceable,31608
W00291,serviceable,31232
W00292,serviceable,31639
W00293,serviceable,31711
W00294,serviceable,31233
W00295,serviceable,31056
W00300,serviceable,31317
W00301,serviceable,31101
W00302,serviceable,31221
W00303,disabled,
W00305,serviceable,31633
W00307,serviceable,31229
W00308,serviceable,32002
W00310,serviceable,31056
W00311,serviceable,31631
W00312,serviceable,31633
W00314,serviceable,31282
W00315,disabled,
W00316,serviceable,31023
W00317,disabled,
W00318,serviceable,32046
W00319,serviceable,32036
W00321,serviceable,31014
W00322,serviceable,31219
W00324,serviceable,31118
W00325,serviceable,31281
W00326,serviceable,31612
W00327,disabled,
W00328,serviceable,31024
W00329,disabled,
W00331,serviceable,31088
W00332,serviceable,31076
W00333,serviceable,31000
W00334,disabled,
W00335,serviceable,31630
W00336,serviceable,31405
W00337,serviceable,32045
W00338,serviceable,31244
W00340,serviceable,31638
W00341,serviceable,31029
W00342,serviceable,31030
W00343,serviceable,32051
W00345,serviceable,31009
W00346,serviceable,31632
W00347,serviceable,32019
W00348,serviceable,31070
W00349,disabled,
W00351,serviceable,31240
W00352,serviceable,31013
W00353,serviceable,31273
W00354,serviceable,31112
W00355,disabled,
W00356,serviceable,31115
W00357,serviceable,32033
W00358,serviceable,31242
W00359,serviceable,31111
W00360,serviceable,31102
W00361,disabled,
W00364,serviceable,31508
W00365,serviceable,31006
W00366,serviceable,31508
W00367,disabled,
W00368,serviceable,31627
W00369,serviceable,31907
W00370,disabled,
W00371,disabled,
W00372,serviceable,31281
W00373,serviceable,31115
W00374,serviceable,31011
W00375,serviceable,31012
W00377,serviceable,31246
W00378,serviceable,31268
W00379,serviceable,31067
W00380,serviceable,31405
W00381,serviceable,31047
W00382,serviceable,31224
W00383,serviceable,31041
W00384,serviceable,32011
W00385,serviceable,31286
W00386,serviceable,32055
W00387,serviceable,31108
W00388,serviceable,32023
W00389,serviceable,31503
W00390,serviceable,31610
W00391,serviceable,32212
W00392,serviceable,31055
W00393,serviceable,31916
W00394,serviceable,31314
W00395,serviceable,31626
W00397,serviceable,31241
W00398,serviceable,31021
W00399,serviceable,31212
W00400,serviceable,31055
W00401,serviceable,31101
W00402,serviceable,32013
W00403,serviceable,31217
W00404,disabled,
W00405,serviceable,31600
W00406,serviceable,31622
W00407,serviceable,31282
W00408,serviceable,31636
W00409,serviceable,31402
W00410,serviceable,31037
W00411,serviceable,32029
W00412,serviceable,31600
W00413,serviceable,31305
W00414,serviceable,31603
W00415,serviceable,31708
W00416,serviceable,31212
W00417,serviceable,31906
W00418,serviceable,31204
W00419,serviceable,31506
W00420,serviceable,31002
W00421,serviceable,31055
W00422,serviceable,31707
W00425,serviceable,31506
W00426,disabled,
W00427,serviceable,31080
W00428,serviceable,31616
W00429,serviceable,31604
W00430,serviceable,31107
W00431,serviceable,31265
W00433,serviceable,31278
W00434,serviceable,31616
W00435,serviceable,31275
W00436,serviceable,31035
W00437,serviceable,31118
W00438,disabled,
W00439,serviceable,31014
W00440,serviceable,31228
W00441,serviceable,31517
