Station number,Station name,Station capacity
32011,Maple & Ritchie Ave,28
31246,M St & Pennsylvania Ave NW,10
31408,Takoma Metro,12
31309,Fessenden St & Wisconsin Ave NW,8
31125,15th & W St NW,24
31056,S Troy St & 26th St S,9
31244,4th & E St SW,19
32023,Montgomery College/W Campus Dr & Mannakee St,8
31217,USDA / 12th & Independence Ave SW,10
31402,14th St Heights / 14th & Crittenden St NW,6
31400,Georgia & New Hampshire Ave NW,18
31509,New Jersey Ave & R St NW,27
31614,11th & H St NE,23
31252,21st St & Pennsylvania Ave NW,7
31312,Wisconsin Ave & O St NW,16
31226,34th St & Wisconsin Ave NW,9
31203,14th & Rhode Island Ave NW,20
32045,Shady Grove Metro West,16
31636,New Jersey Ave & N St NW/Dunbar HS,19
31042,Market Square / King St & Royal St,13
31212,21st & M St NW,17
31645,6th & K St NE,23
31010,S Glebe & Potomac Ave,15
31101,14th & V St NW,42
31633,Independence Ave & L'Enfant Plaza SW/DOE,13
31281,8th & O St NW,26
31801,Anacostia Metro,14
31623,Columbus Circle / Union Station,51
31248,Smithsonian-National Mall / Jefferson Dr & 12th St SW,18
32010,Philadelphia & Maple Ave,28
31414,Georgia Ave & Piney Branch Rd NW,12
31317,Wisconsin Ave & Ingomar St NW,12
31029,N Veitch  & 20th St N,20
31030,Lee Hwy & N Adams St,4
31041,Prince St & Union St,23
31916,Potomac & Swann Ave,27
31282,16th & R St NW,20
31707,Benning Rd & East Capitol St NE / Benning Rd Metro,10
31604,3rd & H St NW,16
31600,5th & K St NW,28
31227,13th St & New York Ave NW,5
31070,Arlington Blvd & Fillmore St,18
31265,5th St & Massachusetts Ave NW,24
31068,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,11
31249,Jefferson Memorial,31
31504,10th & Monroe St NE,3
31508,Gallaudet / 8th St & Florida Ave NE,26
31012,26th & S Clark St,11
31241,Thomas Circle,6
31228,8th & H St NW,24
31807,Pleasant St & MLK Ave SE,10
31109,7th & T St NW,29
31620,5th & F St NW,19
31013,23rd & Eads St,17
31275,New Hampshire Ave & 24th St NW,7
32043,Veterans Pl & Pershing Dr ,12
31644,12th St & Pennsylvania Ave SE,25
32022,Garland Ave & Walden Rd,1
31083,Potomac Greens Dr & Slaters Ln,18
31036,George Mason Dr & Wilson Blvd,15
31520,24th & R St NE / National Arboretum,10
31712,Oklahoma Ave & D St NE,27
31626,15th St & Massachusetts Ave SE,23
31611,13th & H St NE,29
31621,4th & D St NW / Judiciary Square,16
31009,27th & Crystal Dr,12
31120,10th & Florida Ave NW,21
31088,Mount Vernon Ave & Kennedy St,10
31279,19th & G St NW,5
31102,11th & Kenyon St NW,30
31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,16
31641,2nd St & Massachusetts Ave NE,33
31401,14th St & Spring Rd NW,15
31079,Lee Hwy & N Cleveland St,18
31021,Clarendon Blvd & N Fillmore St,12
31107,Lamont & Mt Pleasant NW,25
31103,16th & Harvard St NW,17
32019,East West Hwy & Blair Mill Rd,13
31115,Columbia Rd & Georgia Ave NW,22
31080,Lee Hwy & N Scott St,5
31616,3rd & H St NE,28
31223,Convention Center / 7th & M St NW,21
32046,River Rd & Landy Ln,19
32209,North Shore & Cameron Crescent Dr/Crescent Apartments,9
31313,Connecticut Ave & Tilden St NW,8
31000,Eads St & 15th St S,13
31232,7th & F St NW/Portrait Gallery,23
31091,S Joyce & 16th St S,16
31075,Rolfe St & 9th St S,13
31907,Franklin & S Washington St,21
31221,18th & M St NW,13
31240,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,22
32029,Offutt Ln & Chevy Chase Dr,7
31278,18th & R St NW,11
31231,14th & D St NW / Ronald Reagan Building,11
31258,Lincoln Memorial,10
32056,East West Hwy & 16th St,6
31318,Connecticut Ave & Yuma St NW,23
32008,Cordell & Norfolk Ave,10
31238,14th & G St NW,5
31639,2nd & G St NE,36
31006,S Joyce & Army Navy Dr,22
31007,Crystal City Metro / 18th & Bell St,13
31222,New York Ave & 15th St NW,11
31622,13th & D St NE,35
