"DEPTID","HIRE_DT","ANNUAL_RT","Gross"
"A03031","10/24/1979","57863.00","54992.37"
"A29045","9/25/2006","78600.00","76951.93"
"A02002","12/12/2016","54486.00","27736.14"
"A29017","5/22/2017","37415.00","2821.60"
"A90005","11/28/2014","72800.00","71745.19"
"A64120","3/30/2011","65009.00","82364.33"
"A29004","11/30/2015","67218.00","28465.60"
"A99062","6/14/2007","83576.00","105836.60"
"A38410","9/2/1999","45893.00","59045.33"
"P04002","6/1/2017","22464.00","7233.42"
"P04002","6/1/2017","22464.00","5252.00"
"P04002","6/1/2017","22464.00","10537.36"
"A50209","1/17/1995","38561.00","39482.79"
"A50101","7/17/2017","63240.00","63240.00"
"A70320","8/16/2017","29120.00","29120.00"
"A06015","4/14/2008","43295.00","42996.60"
"A75055","7/27/2009","36446.00","34344.41"
"A85301","2/11/2013","34362.00","30701.80"
"A06004","12/1/1986","40137.00","38997.65"
"A64604","6/10/2004","46435.00","53920.72"
"A03092","3/27/2017","24378.00","5155.91"
"A24002","2/6/2012","64300.00","63054.36"
"A85301","1/5/2017","43887.00","19317.38"
"A49102","12/2/2013","69600.00","65695.17"
"P04001","6/25/2007","24960.00","3198.00"
"A31009","10/13/2008","37367.00","3240.06"
"B70357","10/16/2000","32260.00","35924.29"
"A50100","12/31/2007","59500.00","56795.73"
"A06014","12/15/1997","51888.00","51106.90"
"A85604","10/29/2015","72050.00","56734.30"
"A99033","1/20/2015","49833.00","51031.36"
"A29008","9/19/2011","37367.00","36634.01"
"A14003","8/26/2002","39609.00","39821.94"
"P04001","6/19/2014","31200.00","14220.00"
"A49390","1/9/2012","39106.00","83125.59"
"A65102","8/27/2003","60138.00","59686.60"
"A46001","6/24/2006","78000.00","67590.01"
"A65026","7/13/2017","32975.00","32975.00"
"A75008","2/19/1992","19240.00","4670.77"
"A64604","9/12/2016","37415.00","29295.53"
"A99005","4/10/2014","58963.00","56993.10"
"A99416","2/13/2017","48971.00","16277.45"
"A99005","10/3/2016","49088.00","34204.68"
"A29005","10/7/2013","69800.00","67289.27"
"A64131","10/7/2002","71092.00","73631.65"
"A90002","5/30/2017","28488.00","1289.06"
"A49506","6/24/2006","30265.00","6850.33"
"A64465","1/18/2005","69802.00","81073.26"
"A99225","4/11/2016","49088.00","50091.79"
"A70415","6/11/2001","33342.00","22425.46"
"A99396","7/28/1997","80387.00","83437.27"
"A75067","1/3/2017","19240.00","3605.00"
"A50804","3/17/2008","37367.00","46864.71"
"A41101","1/30/1995","62475.00","59126.21"
"A38001","4/26/2001","59392.00","56463.81"
"A99307","10/23/2003","73454.00","104783.47"
"A17001","6/19/2008","34902.00","33204.16"
"A50209","11/7/2005","40279.00","40660.68"
"A50804","12/26/2000","36996.00","44495.86"
"A88001","10/22/1998","39609.00","40839.48"
"A99372","4/22/2009","48950.00","47932.61"
"A64460","11/10/2010","70350.00","80801.51"
"C90786","6/2/1990","11812.00","11393.39"
"A50803","3/5/2007","36275.00","14513.55"
"A31001","1/26/2017","47723.00","17876.71"
"A99220","4/10/2008","69373.00","67790.96"
"A65200","5/5/2008","37367.00","36774.90"
"A06034","11/14/1977","40137.00","44930.99"
"P04002","6/12/2012","19240.00","8788.07"
"A90002","3/21/2007","34902.00","43519.20"
"A99330","1/31/2001","82484.00","130119.16"
"P04001","9/9/2005","31200.00","31200.00"
"A64225","7/12/1999","71461.00","84928.09"
"A99095","12/5/2001","76892.00","78272.42"
"B70411","10/19/2010","31512.00","33677.24"
"A50803","2/25/1985","69721.00","78134.22"
"A49104","8/10/1990","67902.00","69030.32"
"A17001","6/13/2013","57121.00","54277.87"
"A85001","4/8/1996","56300.00","53850.80"
"A70414","8/29/2015","29453.00","30692.83"
"B49308","6/1/1998","32260.00","33886.44"
"A32001","2/2/2004","50419.00","49530.01"
"A50501","9/10/1979","39376.00","43408.36"
"A16001","11/28/2016","63240.00","32722.62"
"A70410","7/3/2017","59500.00","59500.00"
"A50609","6/19/2017","64200.00","64200.00"
"A17001","7/23/2007","60100.00","56596.71"
"A65075","7/2/1988","96700.00","93430.83"
"A29036","8/7/2017","56613.00","56613.00"
"A49330","6/26/2017","28488.00","28488.00"
"A49507","6/22/2015","37583.00","52990.97"
"A64154","7/11/1994","78235.00","92125.49"
"A99330","4/24/1985","97309.00","119196.35"
"A29006","7/27/2015","67218.00","65847.91"
"A99033","12/11/2002","73454.00","100610.75"
"A50209","2/2/2004","45144.00","46398.88"
"A50209","11/4/1985","50404.00","49065.51"
"A99408","1/27/2005","74499.00","74866.91"
"A99408","4/10/2001","77591.00","77459.23"
"A50609","10/17/2001","79100.00","73781.62"
"A99093","8/24/2015","49833.00","57893.86"
"A99416","2/6/2017","48971.00","17289.65"
"A06033","3/19/2007","73900.00","73145.49"
"A99225","4/17/2013","62676.00","65807.19"
"A50101","7/17/2017","65844.00","65844.00"
"A19103","8/15/2016","82200.00","68450.00"
"A14003","2/19/2015","32864.00","28748.61"
"A50212","12/12/1988","49089.00","49677.16"
"A41101","3/7/2002","93800.00","96826.49"
"A31001","9/26/2013","76000.00","64429.29"
"A99001","10/3/2013","58963.00","47192.76"
"A50401","7/29/2013","63300.00","63329.95"
"B70104","11/27/2006","31345.00","41725.59"
"A85302","4/21/1980","63950.00","74067.38"
"A50803","10/17/1988","87800.00","87308.12"
"A33002","12/6/1993","125700.00","124837.19"
"A99194","9/23/2009","70051.00","93589.91"
"A64201","10/23/2007","65009.00","74836.97"
"A29011","7/27/2015","67218.00","65842.35"
"A03092","12/10/2007","74700.00","73430.78"
"A49300","11/25/2002","39924.00","41277.53"
"A65041","8/11/2016","42153.00","35469.30"
"A65028","2/12/2015","72824.00","69038.13"
"A09001","5/21/2007","102400.00","103636.13"
"A24002","2/4/2013","66900.00","66552.73"
"A99164","10/17/2007","72438.00","110431.54"
"A65008","3/27/2017","42000.00","10998.68"
"A65101","2/25/2016","55574.00","52992.61"
"A29022","4/4/2016","47947.00","43822.72"
"A67012","5/23/2017","24960.00","24960.00"
"A99263","1/23/2013","62676.00","75108.34"
"A85604","9/25/2014","81600.00","77091.37"
"A14001","11/20/1997","51888.00","56333.09"
"A68007","8/8/2016","20800.00","10746.70"
"A50101","1/30/1984","72000.00","69569.24"
"A99322","8/30/2006","79462.00","104104.12"
"A99333","10/10/2006","71412.00","78578.99"
"A64114","12/12/2007","66893.00","73537.02"
"A50205","7/29/2017","28488.00","28488.00"
"A70410","11/29/2011","43887.00","43291.03"
"A64301","1/17/2001","71461.00","74946.15"
"A64135","11/27/2000","71461.00","90068.88"
"A65021","4/2/2014","63300.00","61612.19"
"A30001","8/13/2016","40495.00","34127.26"
"A01001","12/7/2016","83200.00","43310.66"
"A99408","6/20/1996","94003.00","92921.47"
"A75079","8/10/2009","19240.00","8136.00"
"A70415","9/12/2016","29453.00","22373.53"
"A64139","11/15/1982","78527.00","78662.82"
"A50701","9/13/2004","39343.00","42408.63"
"A91015","11/29/1996","45348.00","40576.03"
"A75059","2/26/2007","28488.00","11177.24"
"A99416","7/24/2017","48971.00","48971.00"
"A83010","11/18/1985","72000.00","71423.26"
"A99224","9/23/1996","83044.00","88083.80"
"A64147","2/16/1999","71461.00","76373.59"
"A70415","12/16/2013","30368.00","33815.36"
"A99416","8/17/2017","48971.00","48971.00"
"A85302","5/17/1973","55486.00","69584.31"
"A99006","7/19/2011","66784.00","77034.53"
"A99062","11/30/2015","49088.00","54140.57"
"C90786","5/12/2011","10548.00","10293.14"
"A65018","8/29/2017","19240.00","494.38"
"A65025","10/29/2009","34902.00","34633.78"
"A99394","11/28/2006","71412.00","80789.62"
"A64145","10/19/2011","65009.00","74382.58"
"B70346","11/22/2004","33613.00","35020.49"
"A06015","11/25/2013","36275.00","37762.74"
"A64003","7/12/2017","32966.00","32966.00"
"A99330","4/7/1997","80387.00","86205.60"
"A99335","10/10/2001","76892.00","90888.84"
"A64104","11/13/2006","67262.00","71531.41"
"A99416","8/7/2017","69373.00","69373.00"
"A85604","1/28/2010","99300.00","93648.87"
"P04002","4/29/2017","19240.00","19240.00"
"A50302","5/26/1992","51030.00","59343.71"
"A08008","8/15/1988","53115.00","55112.71"
"A64604","5/7/2012","45083.00","42228.68"
"A64136","11/4/2015","40278.00","30484.03"
"A75009","1/17/2016","28488.00","20160.54"
"A50101","11/12/1979","40137.00","40247.98"
"A01001","2/29/2016","46920.00","38180.64"
"A06034","5/11/2015","50023.00","44370.73"
"A32002","12/7/2015","31017.00","29709.50"
"A50804","6/2/2016","30265.00","18324.30"
"A50606","3/23/2015","29890.00","47697.94"
"A99004","1/27/2012","66122.00","70123.78"
"A90201","7/24/2008","41604.00","37678.38"
"A37002","6/26/2003","37250.00","37249.94"
"A50702","12/24/2012","30430.00","39838.00"
"A50804","4/18/2011","37367.00","42605.11"
"P04002","6/3/2010","22464.00","6971.65"
"A99295","8/16/1989","83881.00","104696.56"
"A91018","1/9/2003","23920.00","1486.40"
"A50208","6/5/2006","41821.00","42065.76"
"A06011","7/31/2006","54023.00","56914.98"
"A40002","9/16/2002","121400.00","121342.67"
"A49308","3/10/2003","31419.00","34256.76"
"A75017","10/13/2015","44358.00","32426.35"
"A30002","7/27/2015","60626.00","59073.04"
"A64465","3/20/2006","69802.00","95055.88"
"A99002","1/22/2001","77591.00","89448.88"
"A49370","6/11/1979","40137.00","40608.94"
"A50602","5/11/1987","46693.00","81448.80"
"C90786","10/29/1998","11180.00","10605.72"
"A70415","9/14/2015","30368.00","35734.71"
"A84401","10/1/2007","39771.00","38750.86"
"A30001","9/5/2017","94095.00","94095.00"
"A50701","6/5/2017","31765.00","1197.77"
"A99034","7/6/1993","83184.00","81156.79"
"A99123","4/20/1993","83184.00","86680.07"
"A75056","5/4/1987","85100.00","82676.60"
"A06035","2/23/1998","60605.00","47886.39"
"A15001","10/9/1989","54826.00","53828.12"
"A99295","7/22/1996","94848.00","111361.89"
"A99331","7/27/1987","49790.00","73201.61"
"A49370","3/25/1996","45977.00","50202.76"
"A64230","10/26/1987","80313.00","80192.45"
"A38001","7/27/1987","51051.00","57457.40"
"A99323","1/11/2005","72775.00","116346.74"
"A38006","1/12/2006","48257.00","56889.90"
"P04001","6/16/2015","31200.00","19281.25"
"A67011","12/18/2013","55610.00","58278.45"
"A29036","12/4/2000","99200.00","97693.75"
"A49310","3/19/1987","47840.00","43234.42"
"A49104","11/28/2011","88400.00","80982.45"
"A50701","11/29/2004","35949.00","31945.27"
"A99410","12/4/1995","73600.00","71959.76"
"B68040","8/27/2012","19802.00","9370.07"
"A50804","5/17/2007","37367.00","46289.10"
"A99322","11/20/1992","85190.00","85529.57"
"A70415","8/29/2016","33342.00","36154.45"
"A65095","10/29/2009","26680.00","29179.98"
"A18001","12/10/2012","36275.00","29902.93"
"A50609","10/12/1993","47774.00","48325.28"
"A65027","2/9/2017","66690.00","22279.90"
"A65072","4/12/2013","5512.00","5512.00"
"A50601","11/26/2012","34902.00","36658.59"
"A50804","6/4/2012","37367.00","44060.68"
"B70411","11/27/2000","33384.00","37347.61"
"A65001","11/2/1989","39090.00","38401.05"
"A06065","5/19/2007","33280.00","9344.00"
"A29002","12/26/2007","56576.00","39844.15"
"A99030","10/6/1994","83759.00","111145.86"
"A50602","8/19/2013","30430.00","45326.66"
"A65508","3/20/2008","36649.00","36760.35"
"A14001","1/25/1982","56295.00","68303.89"
"A50209","1/9/1989","56366.00","55547.93"
"A50210","12/29/1980","56295.00","55872.65"
"P04001","7/7/2010","20800.00","8800.00"
"A64006","8/19/1996","68583.00","81143.11"
"A64208","8/13/2003","70674.00","79673.91"
"A06019","3/5/2012","67218.00","66627.33"
"P04002","5/24/2014","20842.00","3757.55"
"A29022","3/13/2017","54709.00","14440.16"
"A99167","1/26/1999","90825.00","172987.02"
"A99005","11/28/2016","48971.00","26525.47"
"A99399","2/22/2001","77591.00","90973.57"
"A99415","8/11/2005","72775.00","80951.99"
"A52001","4/18/2017","34320.00","1693.91"
"A31017","12/6/2013","66600.00","65983.91"
"A99260","8/21/1996","94003.00","99319.35"
"A06020","7/27/1994","73700.00","74099.84"
"A50209","11/27/1978","73800.00","73139.42"
"A29008","10/24/2011","73400.00","71247.15"
"A65016","7/27/1998","61890.00","66619.82"
"A29016","7/31/2017","67218.00","67218.00"
"A85301","8/18/1981","54538.00","72067.46"
"A99425","10/18/2007","70735.00","116183.09"
"A50212","4/15/1985","58730.00","58583.07"
"A70360","1/29/2007","41184.00","66006.32"
"A67011","1/28/1992","52427.00","52693.42"
"A50212","5/20/2017","38381.00","3344.32"
"A99410","4/28/2010","81186.00","85856.52"
"A64158","12/13/2004","67262.00","76952.66"
"A49104","2/27/2013","60626.00","61709.73"
"A90002","4/27/1987","37236.00","41094.08"
"A65004","2/18/2014","61200.00","54230.43"
"A49102","1/7/1988","59680.00","85973.31"
"A99324","3/25/1998","79689.00","101429.41"
"A50803","1/14/2008","48950.00","69635.58"
"A99370","11/28/1988","97309.00","132759.56"
"A02002","3/27/2017","36275.00","2238.12"
"A29008","5/2/2016","60626.00","67483.78"
"A50305","2/29/2016","38915.00","34160.55"
"A99006","2/12/2014","58963.00","89364.40"
"A99093","10/26/2000","77591.00","79066.85"
"A29009","3/8/2004","82600.00","79900.10"
"A30002","7/2/1994","111200.00","110031.00"
"A99035","9/9/1996","81086.00","82650.93"
"A67002","4/27/2009","66500.00","65818.31"
"A99304","4/15/1987","83881.00","118464.09"
"P04001","6/15/2015","29120.00","4648.00"
"A49390","10/14/2014","32975.00","72310.18"
"A68004","2/2/2017","20800.00","8261.55"
"A06010","10/27/2014","61800.00","60542.22"
"A31009","11/2/2006","35954.00","19065.14"
"A50307","7/24/1978","73800.00","73126.16"
"A64003","7/12/2017","44196.00","44196.00"
"C90786","6/2/1990","11812.00","11393.38"
"A99422","9/30/1997","82326.00","164066.18"
"A99260","3/31/2003","76892.00","96822.92"
"A06009","6/17/2008","50419.00","49755.02"
"P04002","5/19/2017","19240.00","19240.00"
"A03094","9/10/2003","61900.00","60779.83"
"A90045","10/13/2011","32635.00","46960.24"
"A70320","9/11/2017","22318.00","22318.00"
"A75001","10/31/1977","102200.00","97891.75"
"A99002","5/6/2002","76892.00","107092.55"
"A54002","7/29/1971","37884.00","37141.03"
"P04002","5/28/2016","20800.00","13560.00"
"A17001","2/16/2017","81600.00","24715.36"
"A41116","4/7/2007","41182.00","47959.04"
"B70105","5/8/2006","33613.00","42259.82"
"P04002","6/8/2011","22464.00","10573.20"
"A65004","8/9/2016","69900.00","58488.44"
"A64462","9/19/2005","69802.00","83859.50"
"A91013","6/23/2007","30504.00","30143.77"
"A99386","8/7/2014","47723.00","57911.34"
"A38001","11/2/1972","132600.00","167632.62"
"A41116","8/5/1991","44779.00","53879.54"
"A29003","3/25/2002","58946.00","56533.62"
"A50209","12/9/2013","30430.00","45796.08"
"A49390","7/31/2006","40279.00","77286.90"
"B70356","9/25/2006","31345.00","31967.48"
"P04001","6/3/2010","24960.00","24960.00"
"A70410","7/5/2006","54023.00","47057.23"
"A70415","8/10/2015","30368.00","31950.49"
"A64604","9/13/2016","37415.00","30553.53"
"B70412","12/18/2006","36608.00","41265.81"
"A50804","2/5/2001","37367.00","44430.95"
"A03089","12/13/1976","54320.00","52721.14"
"A50210","11/14/1988","67902.00","67520.14"
"A68001","7/14/1987","56287.00","56432.29"
"A99372","3/17/2005","50419.00","56062.00"
"A68005","10/30/2014","30265.00","24290.41"
"A99372","11/29/2001","51888.00","53015.12"
"A50501","4/20/2006","41821.00","51680.29"
"A70415","8/17/2015","30368.00","26713.66"
