,id,category,company,brand,offer,chain,market,repeater,offerdate,quantity,offervalue,mean_quantity,mean_amount,purchased
0,99128004,5616,104610040,15889,1204576,17,4,f,2013-04-06,1,1.0,1.5,3.4175,1
1,100470893,5616,104610040,15889,1204576,15,9,f,2013-04-07,1,1.0,1.0,4.656666666666667,0
2,97167859,3203,106414464,13474,1197502,4,1,t,2013-04-02,1,0.75,1.0,3.59,0
3,98319236,1726,104460040,7668,1200581,17,4,f,2013-03-30,1,1.25,1.0,2.3739999999999997,0
4,99780431,3203,106414464,13474,1197502,15,9,f,2013-03-27,1,0.75,2.0,8.98,0
5,22791304,3203,106414464,13474,1197502,20,7,f,2013-03-27,1,0.75,1.0,2.79,0
6,98540232,3203,106414464,13474,1197502,95,39,f,2013-03-29,1,0.75,1.2857142857142858,2.94,0
7,99572156,3203,106414464,13474,1197502,14,8,f,2013-03-25,1,0.75,1.0,2.59,0
8,102945158,5616,104610040,15889,1204576,15,9,f,2013-04-04,1,1.0,1.0833333333333333,2.676666666666667,1
9,67852785,5616,104610040,15889,1204576,15,9,f,2013-04-07,1,1.0,1.0,4.323333333333333,1
10,103941632,1726,104460040,7668,1200581,17,4,f,2013-04-05,1,1.25,1.0,1.9966666666666668,0
11,106738985,5616,104610040,15889,1204576,4,1,f,2013-04-05,1,1.0,1.0,5.99,0
12,106752635,1726,104460040,7668,1200581,3,2,f,2013-03-30,1,1.25,1.2,2.004,0
13,52566892,1726,104460040,7668,1200581,17,4,f,2013-03-30,1,1.25,2.0,5.0,0
14,77202444,3203,106414464,13474,1197502,14,8,f,2013-03-28,1,0.75,2.0,5.58,0
15,103877944,3203,106414464,13474,1197502,17,4,f,2013-03-26,1,0.75,1.0,3.49,1
16,104667175,3203,106414464,13474,1197502,15,9,t,2013-03-28,1,0.75,1.0,3.49,1
17,99735795,1726,104460040,7668,1200581,17,4,f,2013-03-31,1,1.25,1.3333333333333333,5.6499999999999995,0
18,105010774,1726,104460040,7668,1200581,17,4,f,2013-04-02,1,1.25,1.0,3.0566666666666666,0
19,105154900,1726,104460040,7668,1200581,15,9,t,2013-03-31,1,1.25,1.0,3.59,0
20,70401965,3203,106414464,13474,1197502,88,14,f,2013-03-25,1,0.75,1.0,2.79,0
21,86528154,1726,104460040,7668,1200581,88,14,f,2013-03-30,1,1.25,1.25,4.6675,0
